//ID	Lv	Experience Formula
1	1	0
2	2	2
3	3	5
4	4	12
5	5	34
6	6	84
7	7	167
8	8	333
9	9	658
10	10	1069
11	11	1662
12	12	2489
13	13	3614
14	14	5112
15	15	7070
16	16	9588
17	17	12785
18	18	16794
19	19	21768
20	20	27885
21	21	35344
22	22	44370
23	23	55222
24	24	68188
25	25	83593
26	26	101804
27	27	123230
28	28	148332
29	29	177623
30	30	211675
31	31	251126
32	32	296687
33	33	349146
34	34	409379
35	35	478358
36	36	557156
37	37	646964
38	38	749096
39	39	865003
40	40	996286
41	41	1144710
42	42	1312219
43	43	1500952
44	44	1713259
45	45	1951726
46	46	2219192
47	47	2518770
48	48	2853876
49	49	3228254
50	50	3646005
51	51	4111618
52	52	4630006
53	53	5206540
54	54	5847094
55	55	6558080
56	56	7346505
57	57	8220014
58	58	9186950
59	59	10256410
60	60	12582139
61	61	15292142
62	62	19857051
63	63	25234546
64	64	31538426
65	65	38896101
66	66	51763686
67	67	62139337
68	68	79386538
69	69	99540759
70	70	122991950
71	71	150175183
72	72	189469926
73	73	226441581
74	74	268848189
75	75	317363908
76	76	396033078
77	77	493476403
78	78	592041861
79	79	697211634
80	80	808449936
81	81	813631695
82	82	819632171
83	83	826580723
84	84	834627145
85	85	843944902
86	86	854734864
87	87	867229641
88	88	881698591
89	89	898453636
90	90	917855978
91	91	940323889
92	92	966341730
93	93	996470390
94	94	1031359378
95	95	1071760825
96	96	1118545702
97	97	1172722588
98	98	1235459423
99	99	1308108677
100	100	1392236514
101	101	1488859126
102	102	1587455913
103	103	1688338794
104	104	1791868972
105	105	1898464720
106	106	2008610397
107	107	2122866893
108	108	2241883717
109	109	2366413001
110	110	2497325714
111	111	2635630437
112	112	2782495108
113	113	2939272199
114	114	3107527871
115	115	3275783544
116	116	3444039217
117	117	3612294889
118	118	3780550562
119	119	3948806235
120	120	4117061907
